# q=  0.00000000E+00  0.00000000E+00  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
      26     -0.61532712E-09     -0.72268483E-09     -0.78541743E-05     -0.42499939E-03
      27     -0.61729193E-09     -0.72268483E-09     -0.81136000E-05     -0.42499939E-03
      28     -0.62006926E-09     -0.72268483E-09     -0.83805851E-05     -0.42499939E-03
      29     -0.62348460E-09     -0.72268483E-09     -0.86916748E-05     -0.42499939E-03
      30     -0.62586789E-09     -0.72268483E-09     -0.89960030E-05     -0.42499939E-03
      31     -0.62986257E-09     -0.72268483E-09     -0.92614527E-05     -0.42499939E-03
      32     -0.63214938E-09     -0.72268483E-09     -0.95110111E-05     -0.42499939E-03
      33     -0.63216429E-09     -0.72268483E-09     -0.97469500E-05     -0.42499939E-03
      34     -0.63244202E-09     -0.72268483E-09     -0.10019053E-04     -0.42499939E-03
      35     -0.63284109E-09     -0.72268483E-09     -0.10318958E-04     -0.42499939E-03
      36     -0.63448397E-09     -0.72268483E-09     -0.10602823E-04     -0.42499939E-03
      37     -0.63601906E-09     -0.72268483E-09     -0.10861879E-04     -0.42499939E-03
      38     -0.63604711E-09     -0.72268483E-09     -0.11099327E-04     -0.42499939E-03
      39     -0.63608767E-09     -0.72268483E-09     -0.11340011E-04     -0.42499939E-03
      40     -0.63681896E-09     -0.72268483E-09     -0.11615060E-04     -0.42499939E-03
      41     -0.63882611E-09     -0.72268483E-09     -0.11901755E-04     -0.42499939E-03
      42     -0.64023146E-09     -0.72268483E-09     -0.12171323E-04     -0.42499939E-03
      43     -0.64123657E-09     -0.72268483E-09     -0.12452034E-04     -0.42499939E-03
      44     -0.64339736E-09     -0.72268483E-09     -0.12724862E-04     -0.42499939E-03
      45     -0.64518906E-09     -0.72268483E-09     -0.13006593E-04     -0.42499939E-03
      46     -0.64596310E-09     -0.72268483E-09     -0.13283330E-04     -0.42499939E-03
      47     -0.64607639E-09     -0.72268483E-09     -0.13550134E-04     -0.42499939E-03
      48     -0.64615209E-09     -0.72268483E-09     -0.13807353E-04     -0.42499939E-03
      49     -0.64621495E-09     -0.72268483E-09     -0.14059265E-04     -0.42499939E-03
      50     -0.64627978E-09     -0.72268483E-09     -0.14312450E-04     -0.42499939E-03
      51     -0.64703848E-09     -0.72268483E-09     -0.14564056E-04     -0.42499939E-03
      52     -0.64786083E-09     -0.72268483E-09     -0.14857282E-04     -0.42499939E-03
      53     -0.64869812E-09     -0.72268483E-09     -0.15138861E-04     -0.42499939E-03
      54     -0.65007771E-09     -0.72268483E-09     -0.15428999E-04     -0.42499939E-03
      55     -0.65145307E-09     -0.72268483E-09     -0.15726205E-04     -0.42499939E-03
      56     -0.65255815E-09     -0.72268483E-09     -0.16013711E-04     -0.42499939E-03
      57     -0.65341228E-09     -0.72268483E-09     -0.16291493E-04     -0.42499939E-03
      58     -0.65420111E-09     -0.72268483E-09     -0.16572032E-04     -0.42499939E-03
      59     -0.65475045E-09     -0.72268483E-09     -0.16843101E-04     -0.42499939E-03
      60     -0.65527554E-09     -0.72268483E-09     -0.17134514E-04     -0.42499939E-03
      61     -0.65558541E-09     -0.72268483E-09     -0.17419093E-04     -0.42499939E-03
      62     -0.65592648E-09     -0.72268483E-09     -0.17697211E-04     -0.42499939E-03
      63     -0.65638322E-09     -0.72268483E-09     -0.17977797E-04     -0.42499939E-03
      64     -0.65687342E-09     -0.72268483E-09     -0.18263589E-04     -0.42499939E-03
      65     -0.65750995E-09     -0.72268483E-09     -0.18569331E-04     -0.42499939E-03
      66     -0.65802936E-09     -0.72268483E-09     -0.18866643E-04     -0.42499939E-03
      67     -0.65840223E-09     -0.72268483E-09     -0.19150652E-04     -0.42499939E-03
      68     -0.65864655E-09     -0.72268483E-09     -0.19441786E-04     -0.42499939E-03
      69     -0.65886508E-09     -0.72268483E-09     -0.19713967E-04     -0.42499939E-03
      70     -0.65904392E-09     -0.72268483E-09     -0.19989285E-04     -0.42499939E-03
      71     -0.65923950E-09     -0.72268483E-09     -0.20269202E-04     -0.42499939E-03
      72     -0.65951314E-09     -0.72268483E-09     -0.20581492E-04     -0.42499939E-03
      73     -0.65981839E-09     -0.72268483E-09     -0.20896074E-04     -0.42499939E-03
      74     -0.65999698E-09     -0.72268483E-09     -0.21187697E-04     -0.42499939E-03
      75     -0.66000831E-09     -0.72268483E-09     -0.21330919E-04     -0.42499939E-03
      76     -0.66000843E-09     -0.72268483E-09     -0.21336661E-04     -0.42499939E-03
      77     -0.66003499E-09     -0.72268483E-09     -0.21467442E-04     -0.42499939E-03
      78     -0.66006156E-09     -0.72268483E-09     -0.21598222E-04     -0.42499939E-03
      79     -0.66026556E-09     -0.72268483E-09     -0.21892230E-04     -0.42499939E-03
      80     -0.66046956E-09     -0.72268483E-09     -0.22186257E-04     -0.42499939E-03
      81     -0.66055102E-09     -0.72268483E-09     -0.22470022E-04     -0.42499939E-03
      82     -0.66063247E-09     -0.72268483E-09     -0.22753785E-04     -0.42499939E-03
      83     -0.66073881E-09     -0.72268483E-09     -0.23038319E-04     -0.42499939E-03
      84     -0.66084516E-09     -0.72268483E-09     -0.23322012E-04     -0.42499939E-03
      85     -0.66084694E-09     -0.72268483E-09     -0.23330095E-04     -0.42499939E-03
      86     -0.66084872E-09     -0.72268483E-09     -0.23338177E-04     -0.42499939E-03
      87     -0.66092223E-09     -0.72268483E-09     -0.23603797E-04     -0.42499939E-03
      88     -0.66099586E-09     -0.72268483E-09     -0.23867570E-04     -0.42499939E-03
      89     -0.66108613E-09     -0.72268483E-09     -0.24159124E-04     -0.42499939E-03
      90     -0.66117626E-09     -0.72268483E-09     -0.24447848E-04     -0.42499939E-03
      91     -0.66123271E-09     -0.72268483E-09     -0.24745655E-04     -0.42499939E-03
      92     -0.66128917E-09     -0.72268483E-09     -0.25043434E-04     -0.42499939E-03
      93     -0.66131698E-09     -0.72268483E-09     -0.25279806E-04     -0.42499939E-03
      94     -0.66134479E-09     -0.72268483E-09     -0.25516181E-04     -0.42499939E-03
      95     -0.66142639E-09     -0.72268483E-09     -0.25666240E-04     -0.42499939E-03
      96     -0.66150827E-09     -0.72268483E-09     -0.25816333E-04     -0.42499939E-03
      97     -0.66155789E-09     -0.72268483E-09     -0.26063231E-04     -0.42499939E-03
      98     -0.66160745E-09     -0.72268483E-09     -0.26292488E-04     -0.42499939E-03
      99     -0.66162185E-09     -0.72268483E-09     -0.26432523E-04     -0.42499939E-03
     100     -0.66163626E-09     -0.72268483E-09     -0.26572557E-04     -0.42499939E-03
     101     -0.66169206E-09     -0.72268483E-09     -0.26732143E-04     -0.42499939E-03
     102     -0.66177335E-09     -0.72268483E-09     -0.27007453E-04     -0.42499939E-03
     103     -0.66181214E-09     -0.72268483E-09     -0.27263513E-04     -0.42499939E-03
     104     -0.66185056E-09     -0.72268483E-09     -0.27536746E-04     -0.42499939E-03
     105     -0.66189714E-09     -0.72268483E-09     -0.27802764E-04     -0.42499939E-03
     106     -0.66191874E-09     -0.72268483E-09     -0.27929768E-04     -0.42499939E-03
     107     -0.66193495E-09     -0.72268483E-09     -0.28060728E-04     -0.42499939E-03
     108     -0.66195115E-09     -0.72268483E-09     -0.28191609E-04     -0.42499939E-03
     109     -0.66199122E-09     -0.72268483E-09     -0.28340445E-04     -0.42499939E-03
     110     -0.66203129E-09     -0.72268483E-09     -0.28489286E-04     -0.42499939E-03
     111     -0.66206302E-09     -0.72268483E-09     -0.28633813E-04     -0.42499939E-03
     112     -0.66209475E-09     -0.72268483E-09     -0.28778432E-04     -0.42499939E-03
     113     -0.66214281E-09     -0.72268483E-09     -0.28931695E-04     -0.42499939E-03
     114     -0.66219088E-09     -0.72268483E-09     -0.29084900E-04     -0.42499939E-03
     115     -0.66219142E-09     -0.72268483E-09     -0.29089641E-04     -0.42499939E-03
     116     -0.66219167E-09     -0.72268483E-09     -0.29094536E-04     -0.42499939E-03
     117     -0.66219195E-09     -0.72268483E-09     -0.29100269E-04     -0.42499939E-03
     118     -0.66219546E-09     -0.72268483E-09     -0.29244886E-04     -0.42499939E-03
     119     -0.66226378E-09     -0.72268483E-09     -0.29532162E-04     -0.42499939E-03
     120     -0.66232887E-09     -0.72268483E-09     -0.29681950E-04     -0.42499939E-03
     121     -0.66232934E-09     -0.72268483E-09     -0.29687835E-04     -0.42499939E-03
     122     -0.66232981E-09     -0.72268483E-09     -0.29693803E-04     -0.42499939E-03
     123     -0.66233035E-09     -0.72268483E-09     -0.29700042E-04     -0.42499939E-03
     124     -0.66233089E-09     -0.72268483E-09     -0.29706536E-04     -0.42499939E-03
     125     -0.66233252E-09     -0.72268483E-09     -0.29716624E-04     -0.42499939E-03
     126     -0.66233397E-09     -0.72268483E-09     -0.29727920E-04     -0.42499939E-03
     127     -0.66233492E-09     -0.72268483E-09     -0.29734587E-04     -0.42499939E-03
     128     -0.66237843E-09     -0.72268483E-09     -0.29892809E-04     -0.42499939E-03
     129     -0.66243956E-09     -0.72268483E-09     -0.30190676E-04     -0.42499939E-03
     130     -0.66245808E-09     -0.72268483E-09     -0.30335717E-04     -0.42499939E-03
     131     -0.66245883E-09     -0.72268483E-09     -0.30341077E-04     -0.42499939E-03
     132     -0.66249503E-09     -0.72268483E-09     -0.30496438E-04     -0.42499939E-03
     133     -0.66253100E-09     -0.72268483E-09     -0.30652109E-04     -0.42499939E-03
     134     -0.66254727E-09     -0.72268483E-09     -0.30789651E-04     -0.42499939E-03
     135     -0.66256416E-09     -0.72268483E-09     -0.30928276E-04     -0.42499939E-03
     136     -0.66259288E-09     -0.72268483E-09     -0.31087176E-04     -0.42499939E-03
     137     -0.66262102E-09     -0.72268483E-09     -0.31245954E-04     -0.42499939E-03
     138     -0.66262156E-09     -0.72268483E-09     -0.31252632E-04     -0.42499939E-03
     139     -0.66262222E-09     -0.72268483E-09     -0.31258191E-04     -0.42499939E-03
     140     -0.66262249E-09     -0.72268483E-09     -0.31262150E-04     -0.42499939E-03
     141     -0.66268218E-09     -0.72268483E-09     -0.31409775E-04     -0.42499939E-03
     142     -0.66274182E-09     -0.72268483E-09     -0.31557491E-04     -0.42499939E-03
     143     -0.66274203E-09     -0.72268483E-09     -0.31562417E-04     -0.42499939E-03
     144     -0.66274309E-09     -0.72268483E-09     -0.31569132E-04     -0.42499939E-03
     145     -0.66274416E-09     -0.72268483E-09     -0.31575716E-04     -0.42499939E-03
     146     -0.66274517E-09     -0.72268483E-09     -0.31586820E-04     -0.42499939E-03
     147     -0.66274887E-09     -0.72268483E-09     -0.31737077E-04     -0.42499939E-03
     148     -0.66275177E-09     -0.72268483E-09     -0.31879812E-04     -0.42499939E-03
     149     -0.66275241E-09     -0.72268483E-09     -0.31883836E-04     -0.42499939E-03
     150     -0.66275308E-09     -0.72268483E-09     -0.31889646E-04     -0.42499939E-03
     151     -0.66275338E-09     -0.72268483E-09     -0.31893689E-04     -0.42499939E-03
     152     -0.66275364E-09     -0.72268483E-09     -0.31898301E-04     -0.42499939E-03
     153     -0.66275384E-09     -0.72268483E-09     -0.31902274E-04     -0.42499939E-03
     154     -0.66275402E-09     -0.72268483E-09     -0.31905232E-04     -0.42499939E-03
     155     -0.66279357E-09     -0.72268483E-09     -0.32065259E-04     -0.42499939E-03
     156     -0.66283318E-09     -0.72268483E-09     -0.32225304E-04     -0.42499939E-03
     157     -0.66284314E-09     -0.72268483E-09     -0.32361100E-04     -0.42499939E-03
     158     -0.66285310E-09     -0.72268483E-09     -0.32496850E-04     -0.42499939E-03
     159     -0.66288883E-09     -0.72268483E-09     -0.32648520E-04     -0.42499939E-03
     160     -0.66292452E-09     -0.72268483E-09     -0.32802172E-04     -0.42499939E-03
     161     -0.66292464E-09     -0.72268483E-09     -0.32807147E-04     -0.42499939E-03
     162     -0.66292478E-09     -0.72268483E-09     -0.32810158E-04     -0.42499939E-03
     163     -0.66292604E-09     -0.72268483E-09     -0.32815003E-04     -0.42499939E-03
     164     -0.66292737E-09     -0.72268483E-09     -0.32819660E-04     -0.42499939E-03
     165     -0.66294518E-09     -0.72268483E-09     -0.32966535E-04     -0.42499939E-03
     166     -0.66296302E-09     -0.72268483E-09     -0.33113385E-04     -0.42499939E-03
     167     -0.66298061E-09     -0.72268483E-09     -0.33268199E-04     -0.42499939E-03
     168     -0.66299821E-09     -0.72268483E-09     -0.33423007E-04     -0.42499939E-03
     169     -0.66299844E-09     -0.72268483E-09     -0.33423643E-04     -0.42499939E-03
     170     -0.66299868E-09     -0.72268483E-09     -0.33424296E-04     -0.42499939E-03
     171     -0.66299878E-09     -0.72268483E-09     -0.33428475E-04     -0.42499939E-03
     172     -0.66299888E-09     -0.72268483E-09     -0.33433811E-04     -0.42499939E-03
     173     -0.66299902E-09     -0.72268483E-09     -0.33437065E-04     -0.42499939E-03
     174     -0.66299972E-09     -0.72268483E-09     -0.33440834E-04     -0.42499939E-03
     175     -0.66300049E-09     -0.72268483E-09     -0.33448327E-04     -0.42499939E-03
     176     -0.66300066E-09     -0.72268483E-09     -0.33454215E-04     -0.42499939E-03
     177     -0.66300072E-09     -0.72268483E-09     -0.33457236E-04     -0.42499939E-03
     178     -0.66300205E-09     -0.72268483E-09     -0.33463255E-04     -0.42499939E-03
     179     -0.66305941E-09     -0.72268483E-09     -0.33616157E-04     -0.42499939E-03
     180     -0.66311555E-09     -0.72268483E-09     -0.33767785E-04     -0.42499939E-03
     181     -0.66311644E-09     -0.72268483E-09     -0.33781389E-04     -0.42499939E-03
     182     -0.66312520E-09     -0.72268483E-09     -0.33919539E-04     -0.42499939E-03
     183     -0.66313334E-09     -0.72268483E-09     -0.34052641E-04     -0.42499939E-03
     184     -0.66313382E-09     -0.72268483E-09     -0.34059403E-04     -0.42499939E-03
     185     -0.66313401E-09     -0.72268483E-09     -0.34063110E-04     -0.42499939E-03
     186     -0.66313419E-09     -0.72268483E-09     -0.34066817E-04     -0.42499939E-03
     187     -0.66313493E-09     -0.72268483E-09     -0.34069029E-04     -0.42499939E-03
     188     -0.66313529E-09     -0.72268483E-09     -0.34071138E-04     -0.42499939E-03
     189     -0.66313579E-09     -0.72268483E-09     -0.34072823E-04     -0.42499939E-03
     190     -0.66318241E-09     -0.72268483E-09     -0.34229243E-04     -0.42499939E-03
     191     -0.66322895E-09     -0.72268483E-09     -0.34385956E-04     -0.42499939E-03
     192     -0.66322945E-09     -0.72268483E-09     -0.34388334E-04     -0.42499939E-03
     193     -0.66322969E-09     -0.72268483E-09     -0.34391365E-04     -0.42499939E-03
     194     -0.66323001E-09     -0.72268483E-09     -0.34393981E-04     -0.42499939E-03
     195     -0.66323049E-09     -0.72268483E-09     -0.34400072E-04     -0.42499939E-03
     196     -0.66324228E-09     -0.72268483E-09     -0.34554731E-04     -0.42499939E-03
     197     -0.66325400E-09     -0.72268483E-09     -0.34705076E-04     -0.42499939E-03
     198     -0.66325421E-09     -0.72268483E-09     -0.34707051E-04     -0.42499939E-03
     199     -0.66327637E-09     -0.72268483E-09     -0.34851523E-04     -0.42499939E-03
     200     -0.66329853E-09     -0.72268483E-09     -0.34995960E-04     -0.42499939E-03
     201     -0.66332942E-09     -0.72268483E-09     -0.35162431E-04     -0.42499939E-03
     202     -0.66336031E-09     -0.72268483E-09     -0.35328911E-04     -0.42499939E-03
     203     -0.66336400E-09     -0.72268483E-09     -0.35476073E-04     -0.42499939E-03
     204     -0.66336769E-09     -0.72268483E-09     -0.35623198E-04     -0.42499939E-03
     205     -0.66336799E-09     -0.72268483E-09     -0.35625475E-04     -0.42499939E-03
     206     -0.66336828E-09     -0.72268483E-09     -0.35627750E-04     -0.42499939E-03
     207     -0.66336903E-09     -0.72268483E-09     -0.35635650E-04     -0.42499939E-03
     208     -0.66336979E-09     -0.72268483E-09     -0.35643546E-04     -0.42499939E-03
     209     -0.66337023E-09     -0.72268483E-09     -0.35650577E-04     -0.42499939E-03
     210     -0.66337068E-09     -0.72268483E-09     -0.35657630E-04     -0.42499939E-03
     211     -0.66338034E-09     -0.72268483E-09     -0.35759417E-04     -0.42499939E-03
     212     -0.66338952E-09     -0.72268483E-09     -0.35865976E-04     -0.42499939E-03
     213     -0.66339139E-09     -0.72268483E-09     -0.35877228E-04     -0.42499939E-03
     214     -0.66344185E-09     -0.72268483E-09     -0.36028785E-04     -0.42499939E-03
     215     -0.66349271E-09     -0.72268483E-09     -0.36182368E-04     -0.42499939E-03
     216     -0.66349452E-09     -0.72268483E-09     -0.36188846E-04     -0.42499939E-03
     217     -0.66349550E-09     -0.72268483E-09     -0.36197056E-04     -0.42499939E-03
     218     -0.66349642E-09     -0.72268483E-09     -0.36206864E-04     -0.42499939E-03
     219     -0.66349730E-09     -0.72268483E-09     -0.36220296E-04     -0.42499939E-03
     220     -0.66349817E-09     -0.72268483E-09     -0.36233725E-04     -0.42499939E-03
     221     -0.66349904E-09     -0.72268483E-09     -0.36237128E-04     -0.42499939E-03
     222     -0.66349991E-09     -0.72268483E-09     -0.36240481E-04     -0.42499939E-03
     223     -0.66355101E-09     -0.72268483E-09     -0.36394123E-04     -0.42499939E-03
     224     -0.66360210E-09     -0.72268483E-09     -0.36547749E-04     -0.42499939E-03
     225     -0.66360258E-09     -0.72268483E-09     -0.36551681E-04     -0.42499939E-03
     226     -0.66360305E-09     -0.72268483E-09     -0.36555835E-04     -0.42499939E-03
     227     -0.66361238E-09     -0.72268483E-09     -0.36701394E-04     -0.42499939E-03
     228     -0.66362171E-09     -0.72268483E-09     -0.36846935E-04     -0.42499939E-03
     229     -0.66362235E-09     -0.72268483E-09     -0.36852891E-04     -0.42499939E-03
     230     -0.66362298E-09     -0.72268483E-09     -0.36858829E-04     -0.42499939E-03
     231     -0.66363800E-09     -0.72268483E-09     -0.36969603E-04     -0.42499939E-03
     232     -0.66365302E-09     -0.72268483E-09     -0.37080412E-04     -0.42499939E-03
     233     -0.66365741E-09     -0.72268483E-09     -0.37088413E-04     -0.42499939E-03
     234     -0.66366019E-09     -0.72268483E-09     -0.37093602E-04     -0.42499939E-03
     235     -0.66366101E-09     -0.72268483E-09     -0.37097383E-04     -0.42499939E-03
     236     -0.66366183E-09     -0.72268483E-09     -0.37101155E-04     -0.42499939E-03
     237     -0.66366289E-09     -0.72268483E-09     -0.37107637E-04     -0.42499939E-03
     238     -0.66366373E-09     -0.72268483E-09     -0.37112556E-04     -0.42499939E-03
     239     -0.66366911E-09     -0.72268483E-09     -0.37142341E-04     -0.42499939E-03
     240     -0.66367611E-09     -0.72268483E-09     -0.37182207E-04     -0.42499939E-03
     241     -0.66370290E-09     -0.72268483E-09     -0.37332240E-04     -0.42499939E-03
     242     -0.66372930E-09     -0.72268483E-09     -0.37474785E-04     -0.42499939E-03
     243     -0.66373141E-09     -0.72268483E-09     -0.37481320E-04     -0.42499939E-03
     244     -0.66376239E-09     -0.72268483E-09     -0.37625535E-04     -0.42499939E-03
     245     -0.66381391E-09     -0.72268483E-09     -0.37853367E-04     -0.42499939E-03
     246     -0.66383551E-09     -0.72268483E-09     -0.37940753E-04     -0.42499939E-03
     247     -0.66383922E-09     -0.72268483E-09     -0.38083497E-04     -0.42499939E-03
     248     -0.66384403E-09     -0.72268483E-09     -0.38232335E-04     -0.42499939E-03
     249     -0.66384566E-09     -0.72268483E-09     -0.38240930E-04     -0.42499939E-03
     250     -0.66384795E-09     -0.72268483E-09     -0.38247563E-04     -0.42499939E-03
     251     -0.66385143E-09     -0.72268483E-09     -0.38258238E-04     -0.42499939E-03
     252     -0.66386226E-09     -0.72268483E-09     -0.38390934E-04     -0.42499939E-03
     253     -0.66387392E-09     -0.72268483E-09     -0.38529425E-04     -0.42499939E-03
     254     -0.66387693E-09     -0.72268483E-09     -0.38551553E-04     -0.42499939E-03
     255     -0.66387806E-09     -0.72268483E-09     -0.38565030E-04     -0.42499939E-03
     256     -0.66387882E-09     -0.72268483E-09     -0.38570383E-04     -0.42499939E-03
     257     -0.66388019E-09     -0.72268483E-09     -0.38576691E-04     -0.42499939E-03
     258     -0.66388289E-09     -0.72268483E-09     -0.38586356E-04     -0.42499939E-03
     259     -0.66388736E-09     -0.72268483E-09     -0.38604801E-04     -0.42499939E-03
     260     -0.66394702E-09     -0.72268483E-09     -0.38764735E-04     -0.42499939E-03
     261     -0.66400434E-09     -0.72268483E-09     -0.38913817E-04     -0.42499939E-03
     262     -0.66400629E-09     -0.72268483E-09     -0.38922097E-04     -0.42499939E-03
     263     -0.66401242E-09     -0.72268483E-09     -0.38949396E-04     -0.42499939E-03
     264     -0.66401851E-09     -0.72268483E-09     -0.38971834E-04     -0.42499939E-03
     265     -0.66406379E-09     -0.72268483E-09     -0.39102262E-04     -0.42499939E-03
     266     -0.66410949E-09     -0.72268483E-09     -0.39226495E-04     -0.42499939E-03
     267     -0.66415402E-09     -0.72268483E-09     -0.39376050E-04     -0.42499939E-03
     268     -0.66419855E-09     -0.72268483E-09     -0.39525544E-04     -0.42499939E-03
     269     -0.66419982E-09     -0.72268483E-09     -0.39530738E-04     -0.42499939E-03
     270     -0.66420109E-09     -0.72268483E-09     -0.39535916E-04     -0.42499939E-03
     271     -0.66422216E-09     -0.72268483E-09     -0.39675448E-04     -0.42499939E-03
     272     -0.66424319E-09     -0.72268483E-09     -0.39814761E-04     -0.42499939E-03
     273     -0.66431003E-09     -0.72268483E-09     -0.39952407E-04     -0.42499939E-03
     274     -0.66441728E-09     -0.72268483E-09     -0.40181664E-04     -0.42499939E-03
     275     -0.66446141E-09     -0.72268483E-09     -0.40266212E-04     -0.42499939E-03
     276     -0.66448724E-09     -0.72268483E-09     -0.40378339E-04     -0.42499939E-03
     277     -0.66452400E-09     -0.72268483E-09     -0.40519387E-04     -0.42499939E-03
     278     -0.66453708E-09     -0.72268483E-09     -0.40557272E-04     -0.42499939E-03
     279     -0.66454139E-09     -0.72268483E-09     -0.40571426E-04     -0.42499939E-03
     280     -0.66454569E-09     -0.72268483E-09     -0.40585587E-04     -0.42499939E-03
     281     -0.66458138E-09     -0.72268483E-09     -0.40679883E-04     -0.42499939E-03
     282     -0.66461643E-09     -0.72268483E-09     -0.40773082E-04     -0.42499939E-03
     283     -0.66461841E-09     -0.72268483E-09     -0.40789779E-04     -0.42499939E-03
     284     -0.66462038E-09     -0.72268483E-09     -0.40806468E-04     -0.42499939E-03
     285     -0.66462130E-09     -0.72268483E-09     -0.40809812E-04     -0.42499939E-03
     286     -0.66462219E-09     -0.72268483E-09     -0.40813246E-04     -0.42499939E-03
     287     -0.66462356E-09     -0.72268483E-09     -0.40821249E-04     -0.42499939E-03
     288     -0.66462494E-09     -0.72268483E-09     -0.40829274E-04     -0.42499939E-03
     289     -0.66466666E-09     -0.72268483E-09     -0.40959593E-04     -0.42499939E-03
     290     -0.66470837E-09     -0.72268483E-09     -0.41089929E-04     -0.42499939E-03
     291     -0.66471066E-09     -0.72268483E-09     -0.41096717E-04     -0.42499939E-03
     292     -0.66471195E-09     -0.72268483E-09     -0.41101477E-04     -0.42499939E-03
     293     -0.66476723E-09     -0.72268483E-09     -0.41240132E-04     -0.42499939E-03
     294     -0.66482276E-09     -0.72268483E-09     -0.41377671E-04     -0.42499939E-03
     295     -0.66484470E-09     -0.72268483E-09     -0.41511644E-04     -0.42499939E-03
     296     -0.66486664E-09     -0.72268483E-09     -0.41645641E-04     -0.42499939E-03
     297     -0.66486862E-09     -0.72268483E-09     -0.41650729E-04     -0.42499939E-03
     298     -0.66487011E-09     -0.72268483E-09     -0.41654850E-04     -0.42499939E-03
     299     -0.66487109E-09     -0.72268483E-09     -0.41656678E-04     -0.42499939E-03
     300     -0.66487208E-09     -0.72268483E-09     -0.41658532E-04     -0.42499939E-03
     301     -0.66487551E-09     -0.72268483E-09     -0.41668532E-04     -0.42499939E-03
     302     -0.66487894E-09     -0.72268483E-09     -0.41678517E-04     -0.42499939E-03
     303     -0.66488096E-09     -0.72268483E-09     -0.41684166E-04     -0.42499939E-03
     304     -0.66488296E-09     -0.72268483E-09     -0.41689702E-04     -0.42499939E-03
     305     -0.66488676E-09     -0.72268483E-09     -0.41823972E-04     -0.42499939E-03
     306     -0.66489184E-09     -0.72268483E-09     -0.41962373E-04     -0.42499939E-03
     307     -0.66489366E-09     -0.72268483E-09     -0.41967105E-04     -0.42499939E-03
     308     -0.66489443E-09     -0.72268483E-09     -0.41968477E-04     -0.42499939E-03
     309     -0.66489634E-09     -0.72268483E-09     -0.41974939E-04     -0.42499939E-03
     310     -0.66489826E-09     -0.72268483E-09     -0.41981399E-04     -0.42499939E-03
     311     -0.66489943E-09     -0.72268483E-09     -0.41984966E-04     -0.42499939E-03
     312     -0.66490059E-09     -0.72268483E-09     -0.41988519E-04     -0.42499939E-03
     313     -0.66490085E-09     -0.72268483E-09     -0.41990103E-04     -0.42499939E-03
     314     -0.66490111E-09     -0.72268483E-09     -0.41991630E-04     -0.42499939E-03
     315     -0.66493986E-09     -0.72268483E-09     -0.42147496E-04     -0.42499939E-03
     316     -0.66497863E-09     -0.72268483E-09     -0.42303422E-04     -0.42499939E-03
     317     -0.66497989E-09     -0.72268483E-09     -0.42309526E-04     -0.42499939E-03
     318     -0.66498115E-09     -0.72268483E-09     -0.42315629E-04     -0.42499939E-03
     319     -0.66498225E-09     -0.72268483E-09     -0.42323225E-04     -0.42499939E-03
     320     -0.66498336E-09     -0.72268483E-09     -0.42330822E-04     -0.42499939E-03
     321     -0.66501929E-09     -0.72268483E-09     -0.42419584E-04     -0.42499939E-03
